Rank,Name,Channel Info,Category,Followers,Posts,Avg Likes,Engagement rate
1,instagram,Brand,Photography,580100000,7300,7310,0.10%
2,cristiano,Male,"Health, Sports & Fitness",519900000,3400,3410,1.40%
3,leomessi,Male,"Health, Sports & Fitness",403700000,1000,970,1.70%
4,kyliejenner,Female,Entertainment,375900000,7000,7020,1.70%
5,selenagomez,Female,Entertainment,365300000,1800,1850,1.10%
6,therock,Male,Entertainment,354300000,7000,7030,0.30%
7,arianagrande,Female,Entertainment,345600000,5000,4980,1.40%
8,kimkardashian,Female,Entertainment,336300000,5700,5730,0.90%
9,beyonce,Female,Entertainment,287300000,2100,2050,1%
10,khloekardashian,Female,Entertainment,283900000,4200,4190,0.50%
11,justinbieber,Male,Entertainment,270200000,7400,7390,0.50%
12,nike,Brand,"Health, Sports & Fitness",257600000,1000,1030,0.10%
13,taylorswift,Male,Entertainment,236200000,562000,1,1.30%
14,jlo,Female,Entertainment,228800000,220000,220,0.50%
15,natgeo,Brand,Entertainment,220600000,26700,26710,0.10%
16,nickiminaj,Female,Entertainment,206800000,6400,6440,0.80%
17,kourtneykardash,Female,Entertainment,206200000,4400,4420,0.80%
18,neymarjr,Male,"Health, Sports & Fitness",196200000,5400,5390,1.50%
19,mileycyrus,Female,Entertainment,189900000,1200,1180,0.50%
20,katyperry,Female,Entertainment,179800000,2100,2090,0.30%
21,zendaya,Female,Entertainment,161800000,3500,3540,4.10%
22,kevinhart4real,Male,Entertainment,157600000,8400,8400,0.20%
23,iamcardib,Male,Entertainment,145600000,1600,1650,1.80%
24,ddlovato,Female,Entertainment,143500000,68000,68,0.30%
25,badgalriri,Female,Entertainment,139200000,4900,4860,2.70%
26,kingjames,Male,"Health, Sports & Fitness",139200000,2400,2410,0.90%
27,champagnepapi,Male,Entertainment,127600000,297000,297,1.20%
28,theellenshow,Female,Entertainment,127100000,10700,10750,0.10%
29,chrisbrownofficial,Male,Entertainment,125500000,7500,7450,0.30%
30,realmadrid,Community,"Health, Sports & Fitness",120900000,6500,6530,0.60%
31,fcbarcelona,Community,"Health, Sports & Fitness",113600000,17600,17560,0.80%
32,billieeilish,Female,Entertainment,107400000,737000,737,5.90%
33,championsleague,Male,"Health, Sports & Fitness",99900000,18900,18950,0.40%
34,gal_gadot,Male,Entertainment,91600000,1700,1710,1.20%
35,dualipa,Female,Entertainment,87500000,1400,1390,2.40%
36,k.mbappe,Male,"Health, Sports & Fitness",87200000,1200,1200,3.40%
37,nasa,Community,Technology,85800000,3700,3690,1.10%
38,lalalalisa_m,Female,Entertainment,85500000,900,930,8.10%
39,vindiesel,Male,Entertainment,84900000,1800,1840,1.20%
40,priyankachopra,Female,Entertainment,83900000,3600,3610,1.20%
41,khaby00,Male,Entertainment,80200000,317000,317,8.10%
42,shakira,Female,Entertainment,77700000,2000,2040,1%
43,snoopdogg,Male,Entertainment,77600000,55300,55250,0.20%
44,shraddhakapoor,Female,Entertainment,76700000,1900,1910,1.60%
45,gigihadid,Female,Fashion,76400000,3300,3290,3.40%
46,davidbeckham,Male,"Health, Sports & Fitness",76200000,1600,1590,1.10%
47,victoriassecret,Brand,Fashion,73800000,3100,3140,0.10%
48,aliaabhatt,Female,Entertainment,73600000,1900,1900,2%
49,nehakakkar,Female,Entertainment,72900000,2400,2380,1.30%
50,nba,Community,"Health, Sports & Fitness",72600000,53000,52950,0.30%
51,jennierubyjane,Female,Entertainment,72400000,900,930,8.70%
52,shawnmendes,Male,Entertainment,71000000,2500,2550,3.10%
53,narendramodi,Male,News & Politics,70900000,559000,559,3.30%
54,deepikapadukone,Female,Entertainment,70500000,347000,347,1.40%
55,katrinakaif,Female,Entertainment,68900000,1100,1050,2.60%
56,emmawatson,Female,Entertainment,68800000,417000,417,1.10%
